*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.010 -develop  JUL 08, 2024 16:11:18

*RUN   1        : 0 KG N/HA                 CSCER048 RORO7401    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : RORO7401 WH N RESPONSE,ROTHAMSTED  8FE(N)  (DSSAT3)
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : 0 KG N/HA                 CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 1975 146   207    0.36    2.21    0.24    2.70    36.0   0.346   0.036   2.354   0.258     0.8     5.8     0.5     0.0      83    0.00    0.08    0.00    0.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     16.     12.     12.      6.      5.     13.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 147   208    0.36    2.21    0.24    2.70    36.0   0.346   0.036   2.354   0.258     0.8     5.7     0.5     0.0      82    0.00    0.08    0.00    0.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     16.     12.     12.      6.      5.     13.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 148   209    0.36    2.22    0.24    2.70    36.1   0.346   0.036   2.354   0.258     0.8     5.6     0.5     0.0      86    0.00    0.09    0.00    0.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     17.     13.     13.      6.      5.     14.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 149   210    0.36    2.22    0.24    2.70    36.2   0.346   0.036   2.354   0.258     0.8     5.5     0.5     0.0      95    0.00    0.09    0.00    0.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     19.     14.     14.      6.      6.     15.     11.     10.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 150   211    0.36    2.23    0.25    2.70    36.3   0.346   0.036   2.354   0.258     0.7     5.4     0.5     0.0     102    0.00    0.10    0.00    0.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      1.     20.     15.     15.      7.      6.     16.     12.     10.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 151   212    0.36    2.23    0.25    2.70    36.4   0.346   0.036   2.354   0.258     0.7     5.3     0.5     0.0     103    0.00    0.10    0.00    0.12     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      2.     20.     15.     15.      7.      6.     16.     12.     11.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 152   213    0.36    2.24    0.25    2.70    36.5   0.346   0.037   2.354   0.258     0.7     5.2     0.5     0.0      98    0.00    0.10    0.00    0.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      2.     19.     14.     14.      6.      6.     15.     11.     10.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 153   214    0.37    2.24    0.25    2.70    36.6   0.346   0.037   2.354   0.258     0.7     5.0     0.5     0.0      90    0.00    0.09    0.00    0.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     17.     13.     13.      6.      5.     15.     11.     10.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 154   215    0.37    2.25    0.25    2.70    36.7   0.346   0.037   2.354   0.259     0.6     4.4     0.4     0.0      81    0.00    0.08    0.00    0.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     16.     12.     12.      5.      5.     13.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 155   216    0.37    2.25    0.25    2.70    36.8   0.346   0.037   2.354   0.259     0.6     4.3     0.4     0.0      77    0.00    0.08    0.00    0.08     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     15.     11.     11.      5.      5.     13.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 156   217    0.37    2.26    0.25    2.70    36.8   0.346   0.037   2.354   0.259     0.6     4.2     0.4     0.0      76    0.00    0.08    0.00    0.08     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     14.     11.     11.      5.      5.     12.      9.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 157   218    0.37    2.26    0.25    2.70    36.9   0.346   0.037   2.354   0.259     0.6     4.1     0.4     0.0      80    0.00    0.08    0.00    0.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     15.     11.     11.      5.      5.     13.     10.      9.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 158   219    0.37    2.26    0.25    2.70    37.0   0.346   0.037   2.354   0.259     0.6     4.0     0.4     0.0      92    0.00    0.09    0.00    0.10     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      0.     18.     13.     13.      6.      6.     15.     11.     10.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 159   220    0.37    2.27    0.25    2.70    37.1   0.346   0.037   2.354   0.259     0.6     4.0     0.4     0.0     109    0.00    0.11    0.00    0.12     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      0.     21.     16.     16.      7.      7.     18.     13.     11.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 160   221    0.37    2.27    0.25    2.70    37.3   0.346   0.037   2.354   0.259     0.6     3.9     0.4     0.0     130    0.00    0.13    0.00    0.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      2.     25.     19.     19.      9.      8.     21.     15.     13.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 161   222    0.37    2.28    0.25    2.70    37.4   0.346   0.037   2.354   0.259     0.6     3.8     0.4     0.0     153    0.00    0.15    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      3.     30.     22.     22.     10.      9.     24.     17.     15.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 162   223    0.37    2.28    0.25    2.70    37.6   0.346   0.038   2.354   0.260     0.5     3.7     0.4     0.0     167    0.00    0.17    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      4.     32.     24.     24.     11.     10.     26.     18.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 163   224    0.37    2.28    0.25    2.70    37.8   0.346   0.038   2.354   0.260     0.5     3.6     0.4     0.0     171    0.00    0.17    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      4.     32.     25.     24.     11.     10.     28.     19.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 164   225    0.37    2.29    0.25    2.70    37.9   0.346   0.038   2.354   0.260     0.5     3.4     0.4     0.0     173    0.00    0.17    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      3.     32.     25.     24.     12.     11.     29.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 165   226    0.37    2.29    0.25    2.70    38.1   0.346   0.038   2.354   0.260     0.5     3.3     0.4     0.0     179    0.00    0.18    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      3.     33.     25.     25.     12.     11.     30.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 166   227    0.37    2.29    0.25    2.70    38.3   0.346   0.038   2.354   0.260     0.5     3.2     0.4     0.0     183    0.00    0.18    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      4.     33.     26.     25.     13.     11.     31.     22.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 167   228    0.37    2.30    0.25    2.70    38.5   0.346   0.038   2.354   0.261     0.5     3.0     0.4     0.0     182    0.00    0.18    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      4.     32.     25.     25.     13.     11.     32.     22.     19.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 168   229    0.37    2.30    0.25    2.70    38.6   0.346   0.039   2.354   0.261     0.4     2.5     0.3     0.0     168    0.00    0.17    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      4.     28.     23.     22.     12.     10.     30.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 169   230    0.37    2.30    0.25    2.70    38.8   0.346   0.039   2.354   0.261     0.4     2.4     0.3     0.0     160    0.00    0.16    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      4.     26.     21.     21.     11.     10.     28.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 170   231    0.37    2.30    0.25    2.70    38.9   0.346   0.039   2.354   0.261     0.4     2.4     0.3     0.0     150    0.00    0.15    0.00    0.19     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      4.     23.     19.     19.     10.      9.     27.     19.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 171   232    0.37    2.31    0.25    2.70    39.1   0.346   0.039   2.354   0.261     0.4     2.4     0.3     0.0     143    0.00    0.14    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      1.      5.     22.     18.     18.     10.      9.     26.     19.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 172   233    0.37    2.31    0.25    2.70    39.2   0.346   0.039   2.354   0.262     0.4     2.4     0.3     0.0     144    0.00    0.14    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      5.     22.     18.     18.     10.      9.     27.     19.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 173   234    0.38    2.31    0.25    2.70    39.4   0.346   0.039   2.354   0.262     0.4     2.3     0.3     0.0     155    0.00    0.15    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      6.     23.     20.     19.     10.     10.     29.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 174   235    0.38    2.31    0.25    2.70    39.5   0.346   0.040   2.354   0.262     0.4     2.3     0.3     0.0     158    0.00    0.16    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      6.     23.     20.     20.     11.     10.     30.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 175   236    0.38    2.32    0.25    2.70    39.7   0.346   0.040   2.354   0.262     0.3     1.9     0.3     0.0     157    0.00    0.16    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     23.     20.     19.     10.      9.     30.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 176   237    0.38    2.32    0.25    2.70    39.9   0.346   0.040   2.354   0.262     0.3     1.9     0.3     0.0     163    0.00    0.16    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      7.     23.     20.     20.     10.      9.     31.     22.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 177   238    0.38    2.32    0.26    2.70    40.0   0.346   0.040   2.354   0.263     0.3     1.8     0.3     0.0     157    0.00    0.16    0.00    0.22     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      3.      7.     21.     19.     19.     10.      9.     30.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 178   239    0.38    2.32    0.26    2.70    40.2   0.346   0.040   2.354   0.263     0.3     1.8     0.3     0.0     151    0.00    0.15    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      2.      8.     20.     18.     18.      9.      9.     29.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 179   240    0.38    2.32    0.26    2.70    40.3   0.346   0.040   2.354   0.263     0.3     1.8     0.3     0.0     145    0.00    0.14    0.00    0.19     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      8.     19.     17.     17.      9.      8.     29.     20.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 180   241    0.38    2.32    0.26    2.70    40.5   0.346   0.040   2.354   0.263     0.3     1.7     0.3     0.0     139    0.00    0.14    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     18.     17.     16.      8.      8.     28.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 181   242    0.38    2.33    0.26    2.70    40.6   0.346   0.041   2.354   0.263     0.3     1.7     0.3     0.0     129    0.00    0.13    0.00    0.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     16.     15.     15.      8.      7.     26.     19.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 182   243    0.38    2.33    0.26    2.70    40.7   0.346   0.041   2.354   0.263     0.3     1.6     0.3     0.0     127    0.00    0.13    0.00    0.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     16.     15.     14.      7.      7.     26.     19.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 183   244    0.38    2.33    0.26    2.70    40.8   0.346   0.041   2.354   0.264     0.3     1.5     0.3     0.0     123    0.00    0.12    0.00    0.16     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     15.     14.     14.      7.      7.     25.     18.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 184   245    0.38    2.33    0.26    2.70    41.0   0.346   0.041   2.354   0.264     0.3     1.5     0.3     0.0     124    0.00    0.12    0.00    0.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      7.     15.     14.     14.      7.      7.     25.     18.     16.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 185   246    0.38    2.33    0.26    2.70    41.1   0.346   0.041   2.354   0.264     0.3     1.4     0.3     0.0     127    0.00    0.13    0.00    0.17     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      8.     16.     15.     14.      7.      7.     26.     19.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 186   247    0.38    2.33    0.26    2.70    41.2   0.346   0.041   2.354   0.264     0.3     1.3     0.3     0.0     133    0.00    0.13    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      8.     16.     15.     15.      7.      7.     27.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 187   248    0.38    2.33    0.26    2.70    41.4   0.346   0.041   2.354   0.264     0.3     1.2     0.3     0.0     131    0.00    0.13    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      8.     16.     15.     15.      7.      7.     26.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 188   249    0.38    2.34    0.26    2.70    41.5   0.346   0.041   2.354   0.265     0.3     1.2     0.3     0.0     132    0.00    0.13    0.00    0.18     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      9.     16.     15.     15.      7.      7.     26.     20.     17.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 189   250    0.38    2.34    0.26    2.70    41.6   0.346   0.042   2.354   0.265     0.2     1.0     0.2     0.0     134    0.00    0.13    0.00    0.19     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.      9.     16.     15.     15.      7.      7.     26.     20.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 190   251    0.38    2.34    0.26    2.70    41.8   0.346   0.042   2.354   0.265     0.2     1.0     0.2     0.0     137    0.00    0.14    0.00    0.19     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.     10.     17.     16.     15.      7.      7.     27.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 191   252    0.38    2.34    0.26    2.70    41.9   0.346   0.042   2.354   0.265     0.2     1.0     0.2     0.0     138    0.00    0.14    0.00    0.20     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.     10.     16.     16.     15.      7.      7.     26.     21.     18.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
 1975 192   253    0.38    2.34    0.26    2.70    42.0   0.346   0.042   2.354   0.265     0.2     0.9     0.2     0.0     143    0.00    0.14    0.00    0.21     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      0.     10.     17.     16.     16.      8.      7.     27.     22.     19.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
